65,Iron fcc,10,0.1,0.36,,
132,Iron fcc,10,0.1,0.36,0.1,0
226,Iron fcc,10,0.1,0.36,0.2,0
716,Iron fcc,10,0.1,0.36,0.3,0
1117,Iron fcc,10,0.1,0.36,0.4,0
1129,Iron fcc,10,0.1,0.36,0.5,0
1167,Iron fcc,10,0.1,0.36,0.6,0
1362,Iron fcc,10,0.1,0.36,0.7,0
1369,Iron fcc,10,0.1,0.36,0.8,0
1416,Iron fcc,10,0.1,0.36,0.9,1
1425,Iron fcc,10,0.1,0.36,1,1
1478,Iron fcc,10,0.1,0.36,1.1,1
1531,Iron fcc,10,0.1,0.36,1.2,1
1980,Iron fcc,10,0.1,0.36,1.3,1
2111,Iron fcc,10,0.1,0.36,1.4,1
2137,Iron fcc,10,0.1,0.36,1.5,1
2284,Iron fcc,10,0.1,0.36,1.6,1
2381,Iron fcc,10,0.1,0.36,1.7,1
2421,Iron fcc,10,0.1,0.36,1.8,1
2467,Iron fcc,10,0.1,0.36,1.9,1
2475,Iron fcc,10,0.1,0.36,2,
2627,Iron fcc,10,0.1,0.36,2.1,
2743,Iron fcc,10,0.1,0.36,2.2,
2792,Iron fcc,10,0.1,0.36,2.3,
2945,Iron fcc,10,0.1,0.36,2.4,
3088,Iron fcc,10,0.1,0.36,2.5,
3254,Iron fcc,10,0.1,0.36,,
3319,Iron fcc,10,0.1,0.36,,
3708,Iron fcc,10,0.1,0.36,,
3764,Iron fcc,10,0.1,0.36,,
3835,Iron fcc,10,0.1,0.36,,
3848,Iron fcc,10,0.1,0.36,,
4253,Iron fcc,10,0.1,0.36,,
4318,Iron fcc,10,0.1,0.36,,
4404,Iron fcc,10,0.1,0.36,,
4601,Iron fcc,10,0.1,0.36,,
4714,Iron fcc,10,0.1,0.36,,
4916,Iron fcc,10,0.1,0.36,,
4922,Iron fcc,10,0.1,0.36,,
4935,Iron fcc,10,0.1,0.36,,
4966,Iron fcc,10,0.1,0.36,,
5219,Iron fcc,10,0.1,0.36,,
5239,Iron fcc,10,0.1,0.36,,
5773,Iron fcc,10,0.1,0.36,,
5775,Iron fcc,10,0.1,0.36,,
5785,Iron fcc,10,0.1,0.36,,
5792,Iron fcc,10,0.1,0.36,,
5936,Iron fcc,10,0.1,0.36,,
6066,Iron fcc,10,0.1,0.36,,
6252,Iron fcc,10,0.1,0.36,,
6321,Iron fcc,10,0.1,0.36,,
6386,Iron fcc,10,0.1,0.36,,
6443,Iron fcc,10,0.1,0.36,,
6576,Iron fcc,10,0.1,0.36,,
6656,Iron fcc,10,0.1,0.36,,
6772,Iron fcc,10,0.1,0.36,,
7189,Iron fcc,10,0.1,0.36,,
7332,Iron fcc,10,0.1,0.36,,
7367,Iron fcc,10,0.1,0.36,,
