38,Fe-BCC,69,0.47
46,Fe-BCC,13,0.2
53,Fe-BCC,69,0.47
71,Fe-BCC,10,0.18
84,Fe-BCC,22,0.26
112,Fe-BCC,20,0.25
134,Fe-BCC,30,0.31
149,Fe-BCC,39,0.35
163,Fe-BCC,12,0.2
176,Fe-BCC,35,0.33
179,Fe-BCC,18,0.24
190,Fe-BCC,13,0.2
191,Fe-BCC,89,0.53
205,Fe-BCC,87,0.53
206,Fe-BCC,22,0.26
211,Fe-BCC,18,0.24
221,Fe-BCC,62,0.44
231,Fe-BCC,34,0.33
235,Fe-BCC,17,0.23
242,Fe-BCC,19,0.25
245,Fe-BCC,24,0.28
253,Fe-BCC,22,0.26
269,Fe-BCC,22,0.26
275,Fe-BCC,80,0.5
281,Fe-BCC,19,0.25
310,Fe-BCC,12,0.2
339,Fe-BCC,27,0.29
350,Fe-BCC,13,0.2
359,Fe-BCC,12,0.2
372,Fe-BCC,27,0.29
376,Fe-BCC,15,0.22
385,Fe-BCC,69,0.47
389,Fe-BCC,44,0.37
403,Fe-BCC,16,0.23
427,Fe-BCC,10,0.18
429,Fe-BCC,18,0.24
437,Fe-BCC,33,0.32
449,Fe-BCC,27,0.29
454,Fe-BCC,28,0.3
461,Fe-BCC,23,0.27
474,Fe-BCC,33,0.32
495,Fe-BCC,32,0.32
496,Fe-BCC,61,0.44
500,Fe-BCC,16,0.23
504,Fe-BCC,37,0.34
510,Fe-BCC,36,0.34
517,Fe-BCC,54,0.41
519,Fe-BCC,75,0.49
528,Fe-BCC,20,0.25
533,Fe-BCC,14,0.21
536,Fe-BCC,39,0.35
540,Fe-BCC,25,0.28
543,Fe-BCC,13,0.2
569,Fe-BCC,12,0.2
593,Fe-BCC,14,0.21
599,Fe-BCC,28,0.3
607,Fe-BCC,11,0.19
626,Fe-BCC,10,0.18
627,Fe-BCC,11,0.19
632,Fe-BCC,26,0.29
651,Fe-BCC,36,0.34
657,Fe-BCC,50,0.4
658,Fe-BCC,24,0.28
667,Fe-BCC,18,0.24
669,Fe-BCC,27,0.29
680,Fe-BCC,13,0.2
689,Fe-BCC,26,0.29
692,Fe-BCC,36,0.34
725,Fe-BCC,33,0.32
743,Fe-BCC,42,0.37
754,Fe-BCC,14,0.21
767,Fe-BCC,31,0.31
769,Fe-BCC,10,0.18
771,Fe-BCC,31,0.31
781,Fe-BCC,15,0.22
784,Fe-BCC,15,0.22
788,Fe-BCC,16,0.23
796,Fe-BCC,36,0.34
801,Fe-BCC,19,0.25
808,Fe-BCC,26,0.29
814,Fe-BCC,21,0.26
815,Fe-BCC,25,0.28
835,Fe-BCC,21,0.26
841,Fe-BCC,59,0.43
846,Fe-BCC,10,0.18
848,Fe-BCC,37,0.34
854,Fe-BCC,11,0.19
857,Fe-BCC,37,0.34
867,Fe-BCC,10,0.18
878,Fe-BCC,12,0.2
891,Fe-BCC,15,0.22
893,Fe-BCC,13,0.2
920,Fe-BCC,20,0.25
923,Fe-BCC,16,0.23
924,Fe-BCC,27,0.29
925,Fe-BCC,14,0.21
938,Fe-BCC,30,0.31
944,Fe-BCC,65,0.45
960,Fe-BCC,64,0.45
972,Fe-BCC,10,0.18
988,Fe-BCC,16,0.23
990,Fe-BCC,51,0.4
993,Fe-BCC,15,0.22
995,Fe-BCC,16,0.23
1002,Fe-BCC,13,0.2
1008,Fe-BCC,15,0.22
1022,Fe-BCC,70,0.47
1033,Fe-BCC,39,0.35
1042,Fe-BCC,36,0.34
1052,Fe-BCC,64,0.45
1063,Fe-BCC,15,0.22
1064,Fe-BCC,56,0.42
1065,Fe-BCC,13,0.2
1066,Fe-BCC,12,0.2
1074,Fe-BCC,16,0.23
1082,Fe-BCC,58,0.43
1121,Fe-BCC,27,0.29
1125,Fe-BCC,19,0.25
1131,Fe-BCC,14,0.21
1135,Fe-BCC,13,0.2
1136,Fe-BCC,40,0.36
1139,Fe-BCC,45,0.38
1145,Fe-BCC,12,0.2
1157,Fe-BCC,25,0.28
1159,Fe-BCC,32,0.32
1165,Fe-BCC,23,0.27
1167,Fe-BCC,24,0.28
1170,Fe-BCC,18,0.24
1179,Fe-BCC,33,0.32
1185,Fe-BCC,25,0.28
1198,Fe-BCC,19,0.25
1209,Fe-BCC,17,0.23
1216,Fe-BCC,34,0.33
1217,Fe-BCC,25,0.28
1248,Fe-BCC,34,0.33
1249,Fe-BCC,22,0.26
1270,Fe-BCC,20,0.25
1299,Fe-BCC,18,0.24
1304,Fe-BCC,13,0.2
1313,Fe-BCC,14,0.21
1315,Fe-BCC,13,0.2
1325,Fe-BCC,38,0.35
1330,Fe-BCC,50,0.4
1334,Fe-BCC,60,0.44
1340,Fe-BCC,10,0.18
1350,Fe-BCC,10,0.18
1351,Fe-BCC,22,0.26
1372,Fe-BCC,50,0.4
1374,Fe-BCC,35,0.33
1378,Fe-BCC,65,0.45
1382,Fe-BCC,31,0.31
1383,Fe-BCC,69,0.47
1400,Fe-BCC,21,0.26
1401,Fe-BCC,12,0.2
1408,Fe-BCC,42,0.37
1432,Fe-BCC,13,0.2
1436,Fe-BCC,25,0.28
1440,Fe-BCC,35,0.33
1461,Fe-BCC,29,0.3
1471,Fe-BCC,43,0.37
1473,Fe-BCC,42,0.37
1482,Fe-BCC,10,0.18
1483,Fe-BCC,35,0.33
1488,Fe-BCC,14,0.21
1498,Fe-BCC,10,0.18
1506,Fe-BCC,23,0.27
1519,Fe-BCC,76,0.49
1537,Fe-BCC,39,0.35
1543,Fe-BCC,28,0.3
1549,Fe-BCC,26,0.29
1583,Fe-BCC,13,0.2
1586,Fe-BCC,10,0.18
1589,Fe-BCC,69,0.47
1601,Fe-BCC,57,0.43
1605,Fe-BCC,22,0.26
1609,Fe-BCC,10,0.18
1613,Fe-BCC,22,0.26
1620,Fe-BCC,65,0.45
1623,Fe-BCC,22,0.26
1648,Fe-BCC,11,0.19
1651,Fe-BCC,76,0.49
1658,Fe-BCC,42,0.37
1662,Fe-BCC,39,0.35
1675,Fe-BCC,18,0.24
1677,Fe-BCC,58,0.43
1692,Fe-BCC,13,0.2
1693,Fe-BCC,29,0.3
1705,Fe-BCC,66,0.46
1707,Fe-BCC,20,0.25
1740,Fe-BCC,11,0.19
1776,Fe-BCC,46,0.38
1781,Fe-BCC,15,0.22
1790,Fe-BCC,31,0.31
1796,Fe-BCC,13,0.2
1800,Fe-BCC,12,0.2
1802,Fe-BCC,28,0.3
1805,Fe-BCC,16,0.23
1815,Fe-BCC,15,0.22
1816,Fe-BCC,66,0.46
1818,Fe-BCC,19,0.25
1824,Fe-BCC,17,0.23
1831,Fe-BCC,10,0.18
1835,Fe-BCC,75,0.49
1861,Fe-BCC,31,0.31
1866,Fe-BCC,28,0.3
1867,Fe-BCC,21,0.26
1881,Fe-BCC,14,0.21
1903,Fe-BCC,31,0.31
1915,Fe-BCC,103,0.57
1918,Fe-BCC,41,0.36
1919,Fe-BCC,14,0.21
1925,Fe-BCC,22,0.26
1933,Fe-BCC,12,0.2
1945,Fe-BCC,49,0.39
1983,Fe-BCC,24,0.28
1985,Fe-BCC,64,0.45
1994,Fe-BCC,18,0.24
2006,Fe-BCC,11,0.19
2009,Fe-BCC,38,0.35
2017,Fe-BCC,26,0.29
2027,Fe-BCC,25,0.28
2030,Fe-BCC,39,0.35
2031,Fe-BCC,68,0.47
2049,Fe-BCC,22,0.26
2061,Fe-BCC,45,0.38
2073,Fe-BCC,12,0.2
2088,Fe-BCC,21,0.26
2091,Fe-BCC,41,0.36
2117,Fe-BCC,35,0.33
2120,Fe-BCC,11,0.19
2122,Fe-BCC,12,0.2
2127,Fe-BCC,20,0.25
2130,Fe-BCC,16,0.23
2140,Fe-BCC,13,0.2
2161,Fe-BCC,40,0.36
2162,Fe-BCC,18,0.24
2166,Fe-BCC,24,0.28
2171,Fe-BCC,13,0.2
2189,Fe-BCC,21,0.26
2199,Fe-BCC,17,0.23
2202,Fe-BCC,30,0.31
2205,Fe-BCC,28,0.3
2223,Fe-BCC,30,0.31
2230,Fe-BCC,103,0.57
2259,Fe-BCC,28,0.3
2260,Fe-BCC,80,0.5
2261,Fe-BCC,22,0.26
2264,Fe-BCC,40,0.36
2265,Fe-BCC,37,0.34
2268,Fe-BCC,23,0.27
2279,Fe-BCC,27,0.29
2297,Fe-BCC,30,0.31
2299,Fe-BCC,13,0.2
2309,Fe-BCC,20,0.25
2320,Fe-BCC,13,0.2
2325,Fe-BCC,16,0.23
2333,Fe-BCC,19,0.25
2345,Fe-BCC,20,0.25
2372,Fe-BCC,17,0.23
2376,Fe-BCC,19,0.25
2382,Fe-BCC,69,0.47
2383,Fe-BCC,66,0.46
2397,Fe-BCC,56,0.42
2405,Fe-BCC,16,0.23
2411,Fe-BCC,36,0.34
2412,Fe-BCC,17,0.23
2417,Fe-BCC,34,0.33
2418,Fe-BCC,28,0.3
2425,Fe-BCC,35,0.33
