52,Iron fcc,10,0.1,0.36
106,Iron fcc,10,0.1,0.36
116,Iron fcc,10,0.1,0.36
1174,Iron fcc,10,0.1,0.36
2007,Iron fcc,10,0.1,0.36
2038,Iron fcc,10,0.1,0.36
2084,Iron fcc,10,0.1,0.36
2212,Iron fcc,10,0.1,0.36
2230,Iron fcc,10,0.1,0.36
2498,Iron fcc,10,0.1,0.36
2740,Iron fcc,10,0.1,0.36
3079,Iron fcc,10,0.1,0.36
3219,Iron fcc,10,0.1,0.36
3482,Iron fcc,10,0.1,0.36
4081,Iron fcc,10,0.1,0.36
4865,Iron fcc,10,0.1,0.36
5095,Iron fcc,10,0.1,0.36
5262,Iron fcc,10,0.1,0.36
5339,Iron fcc,10,0.1,0.36
5424,Iron fcc,10,0.1,0.36
6255,Iron fcc,10,0.1,0.36
6378,Iron fcc,10,0.1,0.36
7484,Iron fcc,10,0.1,0.36
8079,Iron fcc,10,0.1,0.36
8910,Iron fcc,10,0.1,0.36
8961,Iron fcc,10,0.1,0.36
9194,Iron fcc,10,0.1,0.36
9556,Iron fcc,10,0.1,0.36
9571,Iron fcc,10,0.1,0.36
10588,Iron fcc,10,0.1,0.36
11744,Iron fcc,10,0.1,0.36
11878,Iron fcc,10,0.1,0.36
12001,Iron fcc,10,0.1,0.36
12019,Iron fcc,10,0.1,0.36
12733,Iron fcc,10,0.1,0.36
12824,Iron fcc,10,0.1,0.36
12894,Iron fcc,10,0.1,0.36
13387,Iron fcc,10,0.1,0.36
13547,Iron fcc,10,0.1,0.36
15505,Iron fcc,10,0.1,0.36
19161,Iron fcc,10,0.1,0.36
20365,Iron fcc,10,0.1,0.36
20644,Iron fcc,10,0.1,0.36
21490,Iron fcc,10,0.1,0.36
21701,Iron fcc,10,0.1,0.36
22023,Iron fcc,10,0.1,0.36
22130,Iron fcc,10,0.1,0.36
22231,Iron fcc,10,0.1,0.36
22273,Iron fcc,10,0.1,0.36
23011,Iron fcc,10,0.1,0.36
24171,Iron fcc,10,0.1,0.36
26174,Iron fcc,10,0.1,0.36
26622,Iron fcc,10,0.1,0.36
26664,Iron fcc,10,0.1,0.36
27177,Iron fcc,10,0.1,0.36
27576,Iron fcc,10,0.1,0.36
27852,Iron fcc,10,0.1,0.36
28121,Iron fcc,10,0.1,0.36
28131,Iron fcc,10,0.1,0.36
28607,Iron fcc,10,0.1,0.36
28834,Iron fcc,10,0.1,0.36
29263,Iron fcc,10,0.1,0.36
29526,Iron fcc,10,0.1,0.36
29724,Iron fcc,10,0.1,0.36
29920,Iron fcc,10,0.1,0.36
29981,Iron fcc,10,0.1,0.36
31321,Iron fcc,10,0.1,0.36
31808,Iron fcc,10,0.1,0.36
31980,Iron fcc,10,0.1,0.36
33054,Iron fcc,10,0.1,0.36
33350,Iron fcc,10,0.1,0.36
33838,Iron fcc,10,0.1,0.36
33853,Iron fcc,10,0.1,0.36
33857,Iron fcc,10,0.1,0.36
34183,Iron fcc,10,0.1,0.36
34458,Iron fcc,10,0.1,0.36
35128,Iron fcc,10,0.1,0.36
35459,Iron fcc,10,0.1,0.36
35714,Iron fcc,10,0.1,0.36
36480,Iron fcc,10,0.1,0.36
37503,Iron fcc,10,0.1,0.36
37662,Iron fcc,10,0.1,0.36
37702,Iron fcc,10,0.1,0.36
39057,Iron fcc,10,0.1,0.36
39322,Iron fcc,10,0.1,0.36
39396,Iron fcc,10,0.1,0.36
273,Iron fcc,11,0.11,0.37
1119,Iron fcc,11,0.11,0.37
1137,Iron fcc,11,0.11,0.37
1591,Iron fcc,11,0.11,0.37
2082,Iron fcc,11,0.11,0.37
2097,Iron fcc,11,0.11,0.37
2224,Iron fcc,11,0.11,0.37
2338,Iron fcc,11,0.11,0.37
3190,Iron fcc,11,0.11,0.37
4058,Iron fcc,11,0.11,0.37
4297,Iron fcc,11,0.11,0.37
4712,Iron fcc,11,0.11,0.37
5051,Iron fcc,11,0.11,0.37
5567,Iron fcc,11,0.11,0.37
5691,Iron fcc,11,0.11,0.37
5912,Iron fcc,11,0.11,0.37
6891,Iron fcc,11,0.11,0.37
7328,Iron fcc,11,0.11,0.37
9062,Iron fcc,11,0.11,0.37
10647,Iron fcc,11,0.11,0.37
11077,Iron fcc,11,0.11,0.37
11953,Iron fcc,11,0.11,0.37
11993,Iron fcc,11,0.11,0.37
12391,Iron fcc,11,0.11,0.37
12755,Iron fcc,11,0.11,0.37
13191,Iron fcc,11,0.11,0.37
13889,Iron fcc,11,0.11,0.37
17270,Iron fcc,11,0.11,0.37
17325,Iron fcc,11,0.11,0.37
18375,Iron fcc,11,0.11,0.37
18390,Iron fcc,11,0.11,0.37
