2,Fe-FCC,30,0.46
4,Fe-FCC,86,0.78
6,Fe-FCC,303,1.47
8,Fe-FCC,219,1.25
9,Fe-FCC,82,0.77
10,Fe-FCC,155,1.05
12,Fe-FCC,115,0.91
13,Fe-FCC,232,1.29
14,Fe-FCC,52,0.61
21,Fe-FCC,244,1.32
24,Fe-FCC,72,0.72
26,Fe-FCC,134,0.98
27,Fe-FCC,248,1.33
32,Fe-FCC,165,1.09
34,Fe-FCC,58,0.64
35,Fe-FCC,68,0.7
36,Fe-FCC,288,1.44
37,Fe-FCC,320,1.51
38,Fe-FCC,10,0.27
39,Fe-FCC,450,1.8
42,Fe-FCC,21,0.39
43,Fe-FCC,101,0.85
47,Fe-FCC,451,1.8
48,Fe-FCC,27,0.44
51,Fe-FCC,14,0.32
52,Fe-FCC,403,1.7
53,Fe-FCC,23,0.41
54,Fe-FCC,103,0.86
55,Fe-FCC,556,2
56,Fe-FCC,31,0.47
57,Fe-FCC,450,1.8
58,Fe-FCC,435,1.77
59,Fe-FCC,32,0.48
60,Fe-FCC,214,1.24
61,Fe-FCC,607,2.09
63,Fe-FCC,225,1.27
67,Fe-FCC,159,1.07
68,Fe-FCC,22,0.4
70,Fe-FCC,589,2.05
71,Fe-FCC,22,0.4
83,Fe-FCC,124,0.94
84,Fe-FCC,32,0.48
105,Fe-FCC,123,0.94
108,Fe-FCC,489,1.87
114,Fe-FCC,355,1.59
124,Fe-FCC,52,0.61
126,Fe-FCC,81,0.76
127,Fe-FCC,96,0.83
130,Fe-FCC,279,1.41
143,Fe-FCC,111,0.89
150,Fe-FCC,527,1.94
156,Fe-FCC,94,0.82
166,Fe-FCC,87,0.79
170,Fe-FCC,109,0.88
176,Fe-FCC,38,0.52
180,Fe-FCC,78,0.75
181,Fe-FCC,78,0.75
189,Fe-FCC,23,0.41
194,Fe-FCC,52,0.61
195,Fe-FCC,309,1.49
196,Fe-FCC,53,0.62
197,Fe-FCC,29,0.46
198,Fe-FCC,70,0.71
203,Fe-FCC,129,0.96
207,Fe-FCC,29,0.46
223,Fe-FCC,50,0.6
242,Fe-FCC,165,1.09
250,Fe-FCC,1073,2.77
254,Fe-FCC,106,0.87
263,Fe-FCC,116,0.91
271,Fe-FCC,144,1.02
287,Fe-FCC,482,1.86
293,Fe-FCC,122,0.93
303,Fe-FCC,68,0.7
305,Fe-FCC,38,0.52
309,Fe-FCC,26,0.43
317,Fe-FCC,30,0.46
321,Fe-FCC,905,2.55
331,Fe-FCC,51,0.6
340,Fe-FCC,27,0.44
346,Fe-FCC,22,0.4
347,Fe-FCC,123,0.94
366,Fe-FCC,613,2.1
369,Fe-FCC,25,0.42
378,Fe-FCC,96,0.83
393,Fe-FCC,180,1.14
406,Fe-FCC,25,0.42
409,Fe-FCC,86,0.78
415,Fe-FCC,152,1.04
419,Fe-FCC,50,0.6
420,Fe-FCC,64,0.68
423,Fe-FCC,56,0.63
427,Fe-FCC,10,0.27
428,Fe-FCC,1012,2.69
429,Fe-FCC,313,1.5
433,Fe-FCC,31,0.47
445,Fe-FCC,161,1.07
457,Fe-FCC,11,0.28
460,Fe-FCC,122,0.93
465,Fe-FCC,154,1.05
467,Fe-FCC,37,0.51
469,Fe-FCC,26,0.43
476,Fe-FCC,112,0.9
488,Fe-FCC,27,0.44
499,Fe-FCC,145,1.02
509,Fe-FCC,19,0.37
513,Fe-FCC,132,0.97
